company_id,type,rule_id,text,confidence_score
ABB,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
ABB,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
ADANIENSOL,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
ADANIENSOL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
ADANIENT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
ADANIENT,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market-share loss.,85
ADANIENT,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
ADANIENT,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
ADANIGREEN,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
ADANIGREEN,con,C1,Debt-to-equity ratio above 2 is elevated for a non-financial company and warrants monitoring.,80
ADANIGREEN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
ADANIPORTS,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
ADANIPORTS,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
ADANIPOWER,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
ADANIPOWER,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
ADANIPOWER,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
AMBUJACEM,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
AMBUJACEM,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
APOLLOHOSP,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
APOLLOHOSP,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
ASIANPAINT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
ASIANPAINT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
ASIANPAINT,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
ATGL,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
ATGL,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
AXISBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,80
AXISBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,80
AXISBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,80
AXISBANK,con,C10,Return on capital employed below 10% suggests the business is not generating efficient returns on invested capital.,80
AXISBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
BAJAJ-AUTO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
BAJAJ-AUTO,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
BAJAJFINSV,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
BAJAJFINSV,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,85
BAJAJFINSV,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
BAJAJHLDNG,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
BAJAJHLDNG,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BAJAJHLDNG,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
BAJFINANCE,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
BAJFINANCE,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,85
BAJFINANCE,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
BAJFINANCE,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
BANKBARODA,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,80
BANKBARODA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,80
BANKBARODA,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,80
BANKBARODA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,80
BANKBARODA,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
BANKBARODA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
BANKBARODA,con,C10,Return on capital employed below 10% suggests the business is not generating efficient returns on invested capital.,80
BANKBARODA,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
BEL,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
BEL,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
BHARTIARTL,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
BHARTIARTL,con,C1,Debt-to-equity ratio above 2 is elevated for a non-financial company and warrants monitoring.,80
BHEL,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
